block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,meetnewfriends,girl1,girl2,black,none,center,1,,black-background,intro
1,1,hi_olivia,girl1outline,girl2gray,black,red,left,0,,black-background,intro
1,2,hi_emily,girl1gray,girl2outline,black,blue,right,2,,black-background,intro
2,3,1lookatme,girl1outline,girl2gray,black,red,left,0,,black-background,FAM_LWL
2,4,2lookatme,girl1gray,girl2outline,black,blue,right,2,,black-background,FAM_LWL
3,5,checkouttoys,girl1,girl2,black,none,center,1,,black-background,intro
3,6,1itthat_ball,girl1outline,girl2gray,ball_circle,ball_red,left,0,,black-background,FAM
3,7,2itsee_ball,girl1gray,girl2outline,ball_circle,ball_blue,right,2,,black-background,FAM
3,8,1seethat_shoe,girl1outline,girl2gray,shoe_circle,shoe_red,left,0,,black-background,FAM
3,9,2thatit_shoe,girl1gray,girl2outline,shoe_circle,shoe_blue,right,2,,black-background,FAM
4,10,find_shoe,shoe_square,ball_square,black,shoe,left,0,,black-background,FAM_LWL
4,11,where_ball,shoe_square,ball_square,black,ball,right,2,,black-background,FAM_LWL
4,12,nicework,LfireworksBlack,RfireworksBlack,black,AG,center,1,,black-background,filler
5,13,heartoys,girl1,girl2,black,none,center,1,,black-background,intro
5,14,1thatsee_tanzer,girl1outline,girl2gray,nov1_circle,tanzer_red,left,0,,black-background,Teaching
5,15,2don'tknow,girl1gray,girl2outline,nov1_circle,tanzer_blue,right,2,,black-background,Teaching
5,16,2thatit_bosa,girl1gray,girl2outline,nov2_circle,bosa_blue,right,2,,black-background,Teaching
5,17,1haven'tseen,girl1outline,girl2gray,nov2_circle,bosa_red,left,0,,black-background,Teaching
5,18,1seeit_cheem,girl1outline,girl2gray,nov3_circle,cheem_red,left,0,,black-background,Teaching
5,19,2haven'tseen,girl1gray,girl2outline,nov3_circle,cheem_blue,right,2,,black-background,Teaching
5,20,2seethat_noop,girl1gray,girl2outline,nov4_circle,noop_blue,right,2,,black-background,Teaching
5,21,1don'tknow,girl1outline,girl2gray,nov4_circle,noop_red,left,0,,black-background,Teaching
5,22,1itthat_akar,girl1outline,girl2gray,nov5_circle,akar_red,left,0,,black-background,Teaching
5,23,2don'tknow,girl1gray,girl2outline,nov5_circle,akar_blue,right ,2,,black-background,Teaching
5,24,2itsee_wiso,girl1gray,girl2outline,nov6_circle,wiso_blue,right,2,,black-background,Teaching
5,25,1haven'tseen,girl1outline,girl2gray,nov6_circle,wiso_red,left,0,,black-background,Teaching
6,26,find_akar,nov6_square,nov5_square,black,akar_red,right,2,,black-background,FAM_LWL
6,27,where_wiso,nov6_square,nov5_square,black,wiso_blue,left,0,,black-background,FAM_LWL
6,28,doinggreat,LoceanBlack,RoceanBlack,black,AG,center,1,,black-background,filler
7,29,newtoys,girl1,girl2,black,none,center,1,,black-background,intro
7,30,2thatsee_roke,girl1gray,girl2outline,nov7_circle,roke_blue,right,2,,black-background,Teaching
7,31,1seeit_dax,girl1outline,girl2gray,nov7_circle,dax_red,left,0,,black-background,Teaching
7,32,1itsee_smope,girl1outline,girl2gray,nov8_circle,smope_red,left,0,,black-background,Teaching
7,33,2itthat_posk,girl1gray,girl2outline,nov8_circle,posk_blue,right,2,,black-background,Teaching
7,34,1thatit_gasser,girl1outline,girl2gray,nov9_circle,gasser_red,left,0,,black-background,Teaching
7,35,2seethat_teebu,girl1gray,girl2outline,nov9_circle,teebu_blue,right,2,,black-background,Teaching
7,36,2seeit_vab,girl1gray,girl2outline,nov10_circle,vab_blue,right,2,,black-background,Teaching
7,37,1thatsee_fisp,girl1outline,girl2gray,nov10_circle,fisp_red,left,0,,black-background,Teaching
7,38,2itthat_posk,girl1gray,girl2outline,nov8_circle,posk_blue,right,2,,black-background,Teaching
7,39,1itsee_smope,girl1outline,girl2gray,nov8_circle,smope_red,left,0,,black-background,Teaching
7,40,1seeit_dax,girl1outline,girl2gray,nov7_circle,dax_red,left,0,,black-background,Teaching
7,41,2thatsee_roke,girl1gray,girl2outline,nov7_circle,roke_blue,right,2,,black-background,Teaching
7,42,1thatsee_fisp,girl1outline,girl2gray,nov10_circle,fisp_red,left,0,,black-background,Teaching
7,43,2seeit_vab,girl1gray,girl2outline,nov10_circle,vab_blue,right,2,,black-background,Teaching
7,44,2seethat_teebu,girl1gray,girl2outline,nov9_circle,teebu_blue,right,2,,black-background,Teaching
7,45,1thatit_gasser,girl1outline,girl2gray,nov9_circle,gasser_red,left,0,,black-background,Teaching
8,46,where_ball,ball_square,shoe_square,black,ball,left,0,,black-background,FAM_LWL
8,47,find_dax,nov7_square,nov8_square,black,dax_red,left,0,,black-background,ImmTest
8,48,find_gasser,nov10_square,nov9_square,black,gasser_red,right,2,,black-background,ImmTest
8,49,find_posk,nov8_square,nov7_square,black,posk_blue,left,0,,black-background,ImmTest
8,50,where_roke,nov10_square,nov7_square,black,roke_blue,right,2,,black-background,ImmTest
8,51,find_shoe,ball_square,shoe_square,black,shoe,right,2,,black-background,FAM_LWL
8,52,find_vab,nov10_square,nov9_square,black,vab_blue,left,0,,black-background,ImmTest
8,53,where_smope,nov7_square,nov8_square,black,smope_red,right,2,,black-background,ImmTest
