block,trial_number,auditory_stimulus,left_image,right_image,center_image,target_label,target_side,correct_response,playing_side,background,trial_type
1,0,meetnewfriends,girl1,girl2,black,none,center,1,,black-background,intro
1,1,hi_olivia,girl1outline,girl2gray,black,red,left,0,,black-background,intro
1,2,hi_emily ,girl1gray,girl2outline,black,blue,right,2,,black-background,intro
2,3,1lookatme,girl1outline,girl2gray,black,red,left,0,,black-background,Fam_test
2,4,2lookatme,girl1gray,girl2outline,black,blue,right,2,,black-background,Fam_test
3,5,listen_toys,girl1,girl2,black,none,center,1,,black-background,intro
3,6,1itthat_ball,girl1outline,girl2gray,ball_circle,ball_red,left,0,,black-background,Fam
3,7,2itsee_ball,girl1gray,girl2outline,ball_circle,ball_blue,right,2,,black-background,Fam
3,8,1seethat_truck,girl1outline,girl2gray,truck_circle,truck_red,left,0,,black-background,Fam
3,9,2thatit_truck,girl1gray,girl2outline,truck_circle,truck_blue,right,2,,black-background,Fam
4,10,great_click,blank_square,blank_square,black,none,center,1,,black-background,intro
4,11,find_truck,truck_square,ball_square,black,truck,left,0,,black-background,Fam_test
4,12,where_ball,truck_square,ball_square,black,ball,right,2,,black-background,Fam_test
4,13,nicework,LfireworksBlack,RfireworksBlack,black,AG,center,1,,black-background,filler
5,14,newtoys_listen,girl1,girl2,black,none,center,1,,black-background,intro
5,15,1thatsee_tanzer,girl1outline,girl2gray,nov1_circle,tanzer_red,left,0,,black-background,Teaching
5,16,2dontknow,girl1gray,girl2outline,nov1_circle,tanzer_blue,right,2,,black-background,Teaching
5,17,2thatit_bosa,girl1gray,girl2outline,nov2_circle,bosa_blue,right,2,,black-background,Teaching
5,18,1haventseen,girl1outline,girl2gray,nov2_circle,bosa_red,left,0,,black-background,Teaching
5,19,1seeit_cheem,girl1outline,girl2gray,nov3_circle,cheem_red,left,0,,black-background,Teaching
5,20,2haventseen,girl1gray,girl2outline,nov3_circle,cheem_blue,right,2,,black-background,Teaching
5,21,2seethat_noop,girl1gray,girl2outline,nov4_circle,noop_blue,right,2,,black-background,Teaching
5,22,1dontknow,girl1outline,girl2gray,nov4_circle,noop_red,left,0,,black-background,Teaching
5,23,1itthat_akar,girl1outline,girl2gray,nov5_circle,akar_red,left,0,,black-background,Teaching
5,24,2dontknow,girl1gray,girl2outline,nov5_circle,akar_blue,right ,2,,black-background,Teaching
5,25,2itsee_wiso,girl1gray,girl2outline,nov6_circle,wiso_blue,right,2,,black-background,Teaching
5,26,1haven’tseen,girl1outline,girl2gray,nov6_circle,wiso_red,left,0,,black-background,Teaching
6,27,awesome_click,blank_square,blank_square,black,none,center,1,,black-background,intro
6,28,find_akar,nov6_square,nov5_square,black,akar_red,right,2,,black-background,Fam_test
6,29,where_wiso,nov6_square,nov5_square,black,wiso_blue,left,0,,black-background,Fam_test
6,30,doinggreat,LoceanBlack,RoceanBlack,black,AG,center,1,,black-background,filler
7,31,more_learn,girl1,girl2,black,none,center,1,,black-background,intro
7,32,2thatsee_roke,girl1gray,girl2outline,nov7_circle,roke_blue,right,2,,black-background,Teaching
7,33,1seeit_dax,girl1outline,girl2gray,nov7_circle,dax_red,left,0,,black-background,Teaching
7,34,1itsee_smope,girl1outline,girl2gray,nov8_circle,smope_red,left,0,,black-background,Teaching
7,35,2itthat_posk,girl1gray,girl2outline,nov8_circle,posk_blue,right,2,,black-background,Teaching
7,36,1thatit_gasser,girl1outline,girl2gray,nov9_circle,gasser_red,left,0,,black-background,Teaching
7,37,2seethat_teebu,girl1gray,girl2outline,nov9_circle,teebu_blue,right,2,,black-background,Teaching
7,38,2seeit_vab,girl1gray,girl2outline,nov10_circle,vab_blue,right,2,,black-background,Teaching
7,39,1thatsee_fisp,girl1outline,girl2gray,nov10_circle,fisp_red,left,0,,black-background,Teaching
8,40,amazing_click,blank_square,blank_square,black,none,center,1,,black-background,intro
8,41,find_happyface,happyface_square,sadface_square,black,happy,left,0,,black-background,Fam_test
8,42,find_truck,truck_square,ball_square,black,truck,left,0,,black-background,Fam_test
8,43,where_sadface,happyface_square,sadface_square,black,sad,right,2,,black-background,Fam_test
8,44,where_ball,truck_square,ball_square,black,ball,right,2,,black-background,Fam_test
8,45,goodjob,LfireworksBlack,RfireworksBlack,black,AG,center,1,,black-background,filler
9,46,hear_again ,girl1,girl2,black,none,center,1,,black-background,intro
9,47,2itthat_posk,girl1gray,girl2outline,nov8_circle,posk_blue,right,2,,black-background,Teaching
9,48,1itsee_smope,girl1outline,girl2gray,nov8_circle,smope_red,left,0,,black-background,Teaching
9,49,1seeit_dax,girl1outline,girl2gray,nov7_circle,dax_red,left,0,,black-background,Teaching
9,50,2thatsee_roke,girl1gray,girl2outline,nov7_circle,roke_blue,right,2,,black-background,Teaching
9,51,1thatsee_fisp,girl1outline,girl2gray,nov10_circle,fisp_red,left,0,,black-background,Teaching
9,52,2seeit_vab,girl1gray,girl2outline,nov10_circle,vab_blue,right,2,,black-background,Teaching
9,53,2seethat_teebu,girl1gray,girl2outline,nov9_circle,teebu_blue,right,2,,black-background,Teaching
9,54,1thatit_gasser,girl1outline,girl2gray,nov9_circle,gasser_red,left,0,,black-background,Teaching
10,55,amazingwork,blank_square,blank_square,black,none,center,1,,black-background,intro
